CategoryType,NumOne,NumTwo,Correct,Incorrect1,Incorrect2,Incorrect3
add,23,19,42,46,49,44
add,55,15,70,77,71,72
add,42,39,81,89,82,89
add,37,16,53,55,57,54
add,23,15,38,41,44,41
add,55,39,94,96,102,106
add,20,16,36,42,44,43
add,37,19,56,61,62,57
add,41,39,80,82,87,86
add,55,16,71,74,76,74
add,19,19,38,43,48,42
add,37,15,52,59,56,60
add,23,16,39,47,43,41
add,55,19,74,82,77,81
add,16,15,31,35,34,38
add,40,39,79,85,82,84
add,26,23,49,52,54,55
add,55,55,110,117,115,119
add,39,10,49,52,50,53
add,37,37,74,78,80,79
add,25,23,48,49,54,58
add,55,55,110,115,117,111
add,16,10,26,27,33,29
add,42,37,79,81,89,82
add,39,23,62,65,66,69
add,60,55,115,125,117,121
add,19,10,29,39,37,33
add,40,37,77,83,85,79
add,27,23,50,57,60,53
add,58,55,113,123,119,114
add,15,10,25,35,37,29
subtract,23,19,4,9,6,10
subtract,55,15,40,46,44,48
subtract,42,39,3,7,8,5
subtract,37,16,21,28,11,15
subtract,23,15,8,13,11,12
subtract,55,39,16,24,20,21
subtract,20,16,4,11,10,14
subtract,37,19,18,8,26,22
subtract,41,39,2,8,4,7
subtract,55,16,39,40,42,41
subtract,19,19,0,2,1,8
subtract,37,15,22,29,23,29
subtract,23,16,7,11,8,12
subtract,55,19,36,42,43,37
subtract,16,15,1,7,3,7
subtract,40,39,1,6,3,9
subtract,26,23,3,6,7,6
subtract,55,55,0,8,1,7
subtract,39,10,29,33,34,33
subtract,37,37,0,2,4,2
subtract,25,23,2,9,5,8
subtract,55,55,0,4,7,8
subtract,16,10,6,7,9,12
subtract,42,37,5,12,11,9
subtract,39,23,16,19,18,20
subtract,60,55,5,13,12,8
subtract,19,10,9,10,12,16
subtract,40,37,3,6,7,9
subtract,27,23,4,6,12,6
subtract,58,55,3,6,10,7
subtract,15,10,5,11,8,7
multiply,10,3,30,37,35,40
multiply,10,15,150,156,158,162
multiply,10,4,40,41,46,45
multiply,10,17,170,171,178,176
multiply,3,10,30,34,36,31
multiply,15,10,150,153,155,159
multiply,4,10,40,47,43,46
multiply,17,10,170,176,180,172
multiply,5,3,15,22,24,19
multiply,5,15,75,77,85,77
multiply,5,4,20,25,28,26
multiply,5,17,85,92,89,92
multiply,3,10,30,31,38,40
multiply,15,10,150,153,157,151
multiply,4,10,40,47,43,44
multiply,17,10,170,175,171,174
multiply,10,3,30,34,38,31
multiply,10,15,150,151,153,157
multiply,10,4,40,48,45,46
multiply,10,17,170,180,177,171
multiply,3,5,15,17,21,16
multiply,15,5,75,83,77,80
multiply,4,5,20,26,30,28
multiply,17,5,85,86,89,93
multiply,2,3,6,14,7,14
multiply,2,15,30,31,33,35
multiply,2,4,8,11,13,9
multiply,2,17,34,44,36,39
multiply,3,10,30,34,37,31
multiply,15,10,150,156,155,157
multiply,4,10,40,43,44,42
multiply,17,10,170,177,174,180
multiply,10,3,30,32,33,37
multiply,10,15,150,155,156,160
multiply,10,4,40,46,42,45
multiply,10,17,170,173,176,180
multiply,3,5,15,22,23,19
multiply,15,5,75,78,81,78
multiply,4,5,20,23,25,24
multiply,17,5,85,86,93,88
multiply,10,3,30,37,39,35
multiply,10,15,150,154,156,154
multiply,10,4,40,41,50,54
multiply,10,17,170,173,176,180
multiply,3,10,30,31,32,37
multiply,15,10,150,151,153,157
multiply,4,10,40,45,42,48
multiply,17,10,170,176,175,174
multiply,5,3,15,23,25,23
multiply,5,15,75,76,78,77
multiply,5,4,20,26,21,28
multiply,5,17,85,87,86,91
multiply,3,2,6,9,10,13
multiply,15,2,30,31,36,40
multiply,4,2,8,13,11,13
multiply,17,2,34,36,42,40
