PPTNum,vocalCond,speedCond,numCorrect,numCompleted,files,controlRelScores
1,instrumental,active,65,68,musicalMathTest_2022-11-01_11h56.48.543,0.866666666666667
1,instrumental,calm,74,76,musicalMathTest_2022-11-01_11h56.48.543,0.986666666666667
1,vocals,active,73,75,musicalMathTest_2022-11-01_11h56.48.543,0.973333333333333
1,vocals,calm,71,72,musicalMathTest_2022-11-01_11h56.48.543,0.946666666666667
2,instrumental,active,55,56,musicalMathTest_2022-11-01_12h24.03.448,0.859375
2,instrumental,calm,63,65,musicalMathTest_2022-11-01_12h24.03.448,0.984375
2,vocals,active,54,55,musicalMathTest_2022-11-01_12h24.03.448,0.84375
2,vocals,calm,59,61,musicalMathTest_2022-11-01_12h24.03.448,0.921875
3,instrumental,active,49,49,musicalMathTest_2022-11-01_15h27.43.086,1
3,instrumental,calm,58,58,musicalMathTest_2022-11-01_15h27.43.086,1.18367346938776
3,vocals,active,53,53,musicalMathTest_2022-11-01_15h27.43.086,1.08163265306122
3,vocals,calm,50,51,musicalMathTest_2022-11-01_15h27.43.086,1.02040816326531
4,instrumental,active,54,55,musicalMathTest_2022-11-01_17h39.16.323,1.05882352941176
4,instrumental,calm,59,60,musicalMathTest_2022-11-01_17h39.16.323,1.15686274509804
4,vocals,active,67,68,musicalMathTest_2022-11-01_17h39.16.323,1.31372549019608
4,vocals,calm,39,40,musicalMathTest_2022-11-01_17h39.16.323,0.764705882352941
5,instrumental,active,43,43,musicalMathTest_2022-11-01_20h41.16.054,0.977272727272727
5,instrumental,calm,41,41,musicalMathTest_2022-11-01_20h41.16.054,0.931818181818182
5,vocals,active,45,46,musicalMathTest_2022-11-01_20h41.16.054,1.02272727272727
5,vocals,calm,36,36,musicalMathTest_2022-11-01_20h41.16.054,0.818181818181818
6,instrumental,active,80,81,musicalMathTest_2022-11-01_20h54.34.424,1.12676056338028
6,instrumental,calm,68,69,musicalMathTest_2022-11-01_20h54.34.424,0.957746478873239
6,vocals,active,76,77,musicalMathTest_2022-11-01_20h54.34.424,1.07042253521127
6,vocals,calm,83,83,musicalMathTest_2022-11-01_20h54.34.424,1.16901408450704
7,instrumental,active,59,63,musicalMathTest_2022-11-02_00h22.36.021,1.09259259259259
7,instrumental,calm,56,58,musicalMathTest_2022-11-02_00h22.36.021,1.03703703703704
7,vocals,active,56,57,musicalMathTest_2022-11-02_00h22.36.021,1.03703703703704
7,vocals,calm,58,58,musicalMathTest_2022-11-02_00h22.36.021,1.07407407407407
8,instrumental,active,63,63,musicalMathTest_2022-11-02_01h11.45.986,1.18867924528302
8,instrumental,calm,49,50,musicalMathTest_2022-11-02_01h11.45.986,0.924528301886792
8,vocals,active,51,51,musicalMathTest_2022-11-02_01h11.45.986,0.962264150943396
8,vocals,calm,57,57,musicalMathTest_2022-11-02_01h11.45.986,1.07547169811321
9,instrumental,active,27,29,xandera,0.818181818181818
9,instrumental,calm,22,22,xandera,0.666666666666667
9,vocals,active,25,25,xandera,0.757575757575758
9,vocals,calm,35,36,xandera,1.06060606060606
10,instrumental,active,27,28,xanderb,0.72972972972973
10,instrumental,calm,23,23,xanderb,0.621621621621622
10,vocals,active,34,35,xanderb,0.918918918918919
10,vocals,calm,29,29,xanderb,0.783783783783784
