PPTNum,vocalCond,speedCond,numCorrect,numCompleted,files
1,instrumental,active,65,68,musicalMathTest_2022-11-01_11h56.48.543
1,instrumental,calm,74,76,musicalMathTest_2022-11-01_11h56.48.543
1,silent,silent,75,75,musicalMathTest_2022-11-01_11h56.48.543
1,vocals,active,73,75,musicalMathTest_2022-11-01_11h56.48.543
1,vocals,calm,71,72,musicalMathTest_2022-11-01_11h56.48.543
2,instrumental,active,55,56,musicalMathTest_2022-11-01_12h24.03.448
2,instrumental,calm,63,65,musicalMathTest_2022-11-01_12h24.03.448
2,silent,silent,64,65,musicalMathTest_2022-11-01_12h24.03.448
2,vocals,active,54,55,musicalMathTest_2022-11-01_12h24.03.448
2,vocals,calm,59,61,musicalMathTest_2022-11-01_12h24.03.448
3,instrumental,active,49,49,musicalMathTest_2022-11-01_15h27.43.086
3,instrumental,calm,58,58,musicalMathTest_2022-11-01_15h27.43.086
3,silent,silent,49,49,musicalMathTest_2022-11-01_15h27.43.086
3,vocals,active,53,53,musicalMathTest_2022-11-01_15h27.43.086
3,vocals,calm,50,51,musicalMathTest_2022-11-01_15h27.43.086
4,instrumental,active,54,55,musicalMathTest_2022-11-01_17h39.16.323
4,instrumental,calm,59,60,musicalMathTest_2022-11-01_17h39.16.323
4,silent,silent,51,54,musicalMathTest_2022-11-01_17h39.16.323
4,vocals,active,67,68,musicalMathTest_2022-11-01_17h39.16.323
4,vocals,calm,39,40,musicalMathTest_2022-11-01_17h39.16.323
5,instrumental,active,43,43,musicalMathTest_2022-11-01_20h41.16.054
5,instrumental,calm,41,41,musicalMathTest_2022-11-01_20h41.16.054
5,silent,silent,44,44,musicalMathTest_2022-11-01_20h41.16.054
5,vocals,active,45,46,musicalMathTest_2022-11-01_20h41.16.054
5,vocals,calm,36,36,musicalMathTest_2022-11-01_20h41.16.054
6,instrumental,active,80,81,musicalMathTest_2022-11-01_20h54.34.424
6,instrumental,calm,68,69,musicalMathTest_2022-11-01_20h54.34.424
6,silent,silent,71,72,musicalMathTest_2022-11-01_20h54.34.424
6,vocals,active,76,77,musicalMathTest_2022-11-01_20h54.34.424
6,vocals,calm,83,83,musicalMathTest_2022-11-01_20h54.34.424
7,instrumental,active,59,63,musicalMathTest_2022-11-02_00h22.36.021
7,instrumental,calm,56,58,musicalMathTest_2022-11-02_00h22.36.021
7,silent,silent,54,58,musicalMathTest_2022-11-02_00h22.36.021
7,vocals,active,56,57,musicalMathTest_2022-11-02_00h22.36.021
7,vocals,calm,58,58,musicalMathTest_2022-11-02_00h22.36.021
8,instrumental,active,63,63,musicalMathTest_2022-11-02_01h11.45.986
8,instrumental,calm,49,50,musicalMathTest_2022-11-02_01h11.45.986
8,silent,silent,53,53,musicalMathTest_2022-11-02_01h11.45.986
8,vocals,active,51,51,musicalMathTest_2022-11-02_01h11.45.986
8,vocals,calm,57,57,musicalMathTest_2022-11-02_01h11.45.986
9,instrumental,active,27,29,xandera
9,instrumental,calm,22,22,xandera
9,silent,silent,33,33,xandera
9,vocals,active,25,25,xandera
9,vocals,calm,35,36,xandera
10,instrumental,active,27,28,xanderb
10,instrumental,calm,23,23,xanderb
10,silent,silent,37,39,xanderb
10,vocals,active,34,35,xanderb
10,vocals,calm,29,29,xanderb
